event_id,event_name,user_id,anonymous_id,sent_at,received_at,properties
evt_000077,product_viewed,,anon_248,2026-09-06 20:13:00,2026-09-06 20:13:05,"{""product_id"": ""P300"", ""product_name"": ""Monitor""}"
evt_000078,identify,user_248,anon_248,2026-09-06 20:30:00,2026-09-06 20:30:04,"{""email"": ""user248@example.com"", ""name"": ""User 248""}"
evt_000079,purchase,user_248,anon_248,2026-09-06 20:42:00,2026-09-06 20:42:01,"{""order_id"": ""ORD56685"", ""amount"": 420.11}"
evt_000080,product_viewed,user_248,anon_248,2026-09-06 21:35:00,2026-09-06 21:35:02,"{""product_id"": ""P400"", ""product_name"": ""Keyboard""}"
evt_000081,page_view,,anon_102,2026-08-23 20:06:00,2026-08-23 20:06:05,"{""page"": ""pricing"", ""device"": ""tablet""}"
evt_000082,page_view,,anon_102,2026-08-23 20:36:00,2026-08-23 20:36:05,"{""page"": ""home"", ""device"": ""mobile""}"
evt_000083,product_viewed,,anon_102,2026-08-23 21:08:00,2026-08-23 21:08:05,"{""product_id"": ""P300"", ""product_name"": ""Monitor""}"
evt_000084,identify,user_102,anon_102,2026-08-23 21:43:00,2026-08-23 21:43:01,"{""email"": ""user102@example.com"", ""name"": ""User 102""}"
evt_000085,purchase,user_102,anon_102,2026-08-23 22:02:00,2026-08-23 22:02:01,"{""order_id"": ""ORD53140"", ""amount"": 599.95}"
evt_000086,add_to_cart,user_102,anon_102,2026-08-23 22:56:00,2026-08-23 22:56:01,"{""product_id"": ""P200"", ""quantity"": 3}"
evt_000087,add_to_cart,user_102,anon_102,2026-08-24 00:13:00,2026-08-24 00:13:01,"{""product_id"": ""P300"", ""quantity"": 2}"
evt_000088,product_viewed,user_102,anon_102,2026-08-24 02:03:00,2026-08-24 02:03:02,"{""product_id"": ""P100"", ""product_name"": ""Laptop""}"
evt_000089,product_viewed,user_102,anon_102,2026-08-24 04:45:00,2026-08-24 04:45:05,"{""product_id"": ""P300"", ""product_name"": ""Monitor""}"
evt_000090,page_view,,anon_204,2026-08-30 13:53:00,2026-08-30 13:53:02,"{""page"": ""about"", ""device"": ""desktop""}"
evt_000091,page_view,,anon_204,2026-08-30 14:05:00,2026-08-30 14:05:05,"{""page"": ""about"", ""device"": ""tablet""}"
evt_000092,page_view,,anon_204,2026-08-30 14:49:00,2026-08-30 14:49:05,"{""page"": ""checkout"", ""device"": ""desktop""}"
evt_000093,identify,user_204,anon_204,2026-08-30 15:08:00,2026-08-30 15:08:05,"{""email"": ""user204@example.com"", ""name"": ""User 204""}"
evt_000094,product_viewed,user_204,anon_204,2026-08-30 15:14:00,2026-08-30 15:14:03,"{""product_id"": ""P200"", ""product_name"": ""Phone""}"
evt_000095,page_view,user_204,anon_204,2026-08-30 16:27:00,2026-08-30 16:27:01,"{""page"": ""checkout"", ""device"": ""desktop""}"
evt_000096,product_viewed,user_204,anon_204,2026-08-30 19:10:00,2026-08-30 19:10:02,"{""product_id"": ""P400"", ""product_name"": ""Keyboard""}"
evt_000097,product_viewed,user_204,anon_204,2026-08-30 21:33:00,2026-08-30 21:33:05,"{""product_id"": ""P200"", ""product_name"": ""Phone""}"
evt_000098,add_to_cart,user_204,anon_204,2026-08-30 23:30:00,2026-08-30 23:30:03,"{""product_id"": ""P300"", ""quantity"": 3}"
evt_000099,purchase,user_204,anon_204,2026-08-30 23:32:00,2026-08-30 23:32:02,"{""order_id"": ""ORD11638"", ""amount"": 220.23}"
evt_000100,add_to_cart,user_204,anon_204,2026-08-31 00:04:00,2026-08-31 00:04:04,"{""product_id"": ""P200"", ""quantity"": 3}"
evt_000101,page_view,,anon_211,2026-09-04 09:18:00,2026-09-04 09:18:04,"{""page"": ""pricing"", ""device"": ""mobile""}"
evt_000102,product_viewed,,anon_211,2026-09-04 09:21:00,2026-09-04 09:21:05,"{""product_id"": ""P300"", ""product_name"": ""Monitor""}"
evt_000103,page_view,,anon_211,2026-09-04 09:50:00,2026-09-04 09:50:04,"{""page"": ""checkout"", ""device"": ""tablet""}"
evt_000104,product_viewed,,anon_211,2026-09-04 10:08:00,2026-09-04 10:08:04,"{""product_id"": ""P300"", ""product_name"": ""Monitor""}"
evt_000105,identify,user_211,anon_211,2026-09-04 10:53:00,2026-09-04 10:53:04,"{""email"": ""user211@example.com"", ""name"": ""User 211""}"
evt_000106,product_viewed,user_211,anon_211,2026-09-04 11:04:00,2026-09-04 11:04:02,"{""product_id"": ""P100"", ""product_name"": ""Laptop""}"
evt_000107,purchase,user_211,anon_211,2026-09-04 12:36:00,2026-09-04 12:36:01,"{""order_id"": ""ORD15012"", ""amount"": 1069.77}"
evt_000108,page_view,,anon_156,2026-09-05 16:56:00,2026-09-05 16:56:01,"{""page"": ""checkout"", ""device"": ""mobile""}"
evt_000109,page_view,,anon_156,2026-09-05 17:40:00,2026-09-05 17:40:03,"{""page"": ""pricing"", ""device"": ""tablet""}"
evt_000110,page_view,,anon_156,2026-09-05 17:43:00,2026-09-05 17:43:03,"{""page"": ""pricing"", ""device"": ""desktop""}"
evt_000111,identify,user_156,anon_156,2026-09-05 17:47:00,2026-09-05 17:47:02,"{""email"": ""user156@example.com"", ""name"": ""User 156""}"
evt_000112,page_view,user_156,anon_156,2026-09-05 18:15:00,2026-09-05 18:15:04,"{""page"": ""about"", ""device"": ""tablet""}"
evt_000113,add_to_cart,user_156,anon_156,2026-09-05 20:26:00,2026-09-05 20:26:01,"{""product_id"": ""P400"", ""quantity"": 4}"
evt_000114,add_to_cart,user_156,anon_156,2026-09-05 22:31:00,2026-09-05 22:31:01,"{""product_id"": ""P400"", ""quantity"": 3}"
evt_000115,product_viewed,user_156,anon_156,2026-09-05 22:46:00,2026-09-05 22:46:02,"{""product_id"": ""P300"", ""product_name"": ""Monitor""}"
evt_000116,add_to_cart,user_156,anon_156,2026-09-06 01:29:00,2026-09-06 01:29:05,"{""product_id"": ""P400"", ""quantity"": 2}"
evt_000117,page_view,user_156,anon_156,2026-09-06 02:09:00,2026-09-06 02:09:05,"{""page"": ""about"", ""device"": ""desktop""}"
evt_000118,product_viewed,user_156,anon_156,2026-09-06 04:56:00,2026-09-06 04:56:05,"{""product_id"": ""P300"", ""product_name"": ""Monitor""}"
evt_000119,page_view,,anon_193,2026-08-20 21:32:00,2026-08-20 21:32:01,"{""page"": ""home"", ""device"": ""tablet""}"
evt_000120,page_view,,anon_113,2026-09-02 20:01:00,2026-09-02 20:01:02,"{""page"": ""pricing"", ""device"": ""mobile""}"
evt_000121,page_view,,anon_113,2026-09-02 21:01:00,2026-09-02 21:01:04,"{""page"": ""pricing"", ""device"": ""mobile""}"
evt_000122,product_viewed,,anon_109,2026-08-28 10:05:00,2026-08-28 10:05:01,"{""product_id"": ""P300"", ""product_name"": ""Monitor""}"
evt_000123,product_viewed,,anon_109,2026-08-28 10:48:00,2026-08-28 10:48:05,"{""product_id"": ""P400"", ""product_name"": ""Keyboard""}"
evt_000124,page_view,,anon_109,2026-08-28 11:01:00,2026-08-28 11:01:01,"{""page"": ""home"", ""device"": ""mobile""}"
evt_000125,page_view,,anon_109,2026-08-28 11:40:00,2026-08-28 11:40:04,"{""page"": ""pricing"", ""device"": ""tablet""}"
evt_000126,identify,user_109,anon_109,2026-08-28 11:44:00,2026-08-28 11:44:02,"{""email"": ""user109@example.com"", ""name"": ""User 109""}"
evt_000127,product_viewed,user_109,anon_109,2026-08-28 12:01:00,2026-08-28 12:01:05,"{""product_id"": ""P300"", ""product_name"": ""Monitor""}"
evt_000128,product_viewed,user_109,anon_109,2026-08-28 13:26:00,2026-08-28 13:26:04,"{""product_id"": ""P300"", ""product_name"": ""Monitor""}"
evt_000129,add_to_cart,user_109,anon_109,2026-08-28 16:04:00,2026-08-28 16:04:04,"{""product_id"": ""P100"", ""quantity"": 1}"
evt_000130,page_view,user_109,anon_109,2026-08-28 18:34:00,2026-08-28 18:34:03,"{""page"": ""pricing"", ""device"": ""tablet""}"
evt_000131,page_view,user_109,anon_109,2026-08-28 18:42:00,2026-08-28 18:42:01,"{""page"": ""checkout"", ""device"": ""desktop""}"
evt_000132,page_view,,anon_041,2026-09-04 19:22:00,2026-09-04 19:22:02,"{""page"": ""checkout"", ""device"": ""tablet""}"
evt_000133,identify,user_041,anon_041,2026-09-04 20:11:00,2026-09-04 20:11:03,"{""email"": ""user41@example.com"", ""name"": ""User 41""}"
evt_000134,add_to_cart,user_041,anon_041,2026-09-04 20:32:00,2026-09-04 20:32:01,"{""product_id"": ""P300"", ""quantity"": 2}"
evt_000135,page_view,,anon_091,2026-09-05 19:13:00,2026-09-05 19:13:01,"{""page"": ""pricing"", ""device"": ""tablet""}"
evt_000136,product_viewed,,anon_091,2026-09-05 19:43:00,2026-09-05 19:43:05,"{""product_id"": ""P400"", ""product_name"": ""Keyboard""}"
evt_000137,product_viewed,,anon_091,2026-09-05 20:33:00,2026-09-05 20:33:05,"{""product_id"": ""P200"", ""product_name"": ""Phone""}"
evt_000138,identify,user_091,anon_091,2026-09-05 21:26:00,2026-09-05 21:26:01,"{""email"": ""user91@example.com"", ""name"": ""User 91""}"
evt_000139,purchase,user_091,anon_091,2026-09-05 21:32:00,2026-09-05 21:32:05,"{""order_id"": ""ORD24399"", ""amount"": 95.24}"
evt_000140,page_view,,anon_100,2026-08-28 09:27:00,2026-08-28 09:27:03,"{""page"": ""about"", ""device"": ""tablet""}"
evt_000141,product_viewed,,anon_100,2026-08-28 10:08:00,2026-08-28 10:08:02,"{""product_id"": ""P200"", ""product_name"": ""Phone""}"
evt_000142,product_viewed,,anon_100,2026-08-28 10:33:00,2026-08-28 10:33:01,"{""product_id"": ""P200"", ""product_name"": ""Phone""}"
evt_000143,identify,user_100,anon_100,2026-08-28 10:52:00,2026-08-28 10:52:05,"{""email"": ""user100@example.com"", ""name"": ""User 100""}"
evt_000144,product_viewed,user_100,anon_100,2026-08-28 11:14:00,2026-08-28 11:14:02,"{""product_id"": ""P100"", ""product_name"": ""Laptop""}"
evt_000145,product_viewed,user_100,anon_100,2026-08-28 11:49:00,2026-08-28 11:49:03,"{""product_id"": ""P300"", ""product_name"": ""Monitor""}"
evt_000146,add_to_cart,user_100,anon_100,2026-08-28 12:26:00,2026-08-28 12:26:05,"{""product_id"": ""P200"", ""quantity"": 2}"
evt_000147,add_to_cart,user_100,anon_100,2026-08-28 12:55:00,2026-08-28 12:55:05,"{""product_id"": ""P200"", ""quantity"": 3}"
evt_000148,product_viewed,user_100,anon_100,2026-08-28 14:41:00,2026-08-28 14:41:03,"{""product_id"": ""P200"", ""product_name"": ""Phone""}"
evt_000149,page_view,,anon_189,2026-08-20 17:24:00,2026-08-20 17:24:03,"{""page"": ""products"", ""device"": ""desktop""}"
evt_000150,product_viewed,,anon_189,2026-08-20 17:51:00,2026-08-20 17:51:02,"{""product_id"": ""P300"", ""product_name"": ""Monitor""}"
evt_000151,page_view,,anon_189,2026-08-20 18:51:00,2026-08-20 18:51:04,"{""page"": ""home"", ""device"": ""mobile""}"
evt_000152,page_view,,anon_189,2026-08-20 19:38:00,2026-08-20 19:38:02,"{""page"": ""checkout"", ""device"": ""tablet""}"
evt_000153,product_viewed,,anon_136,2026-09-02 16:18:00,2026-09-02 16:18:05,"{""product_id"": ""P300"", ""product_name"": ""Monitor""}"
evt_000154,product_viewed,,anon_039,2026-08-29 12:25:00,2026-08-29 12:25:01,"{""product_id"": ""P400"", ""product_name"": ""Keyboard""}"
evt_000155,page_view,,anon_039,2026-08-29 13:03:00,2026-08-29 13:03:02,"{""page"": ""pricing"", ""device"": ""mobile""}"
evt_000156,identify,user_039,anon_039,2026-08-29 13:17:00,2026-08-29 13:17:02,"{""email"": ""user39@example.com"", ""name"": ""User 39""}"
evt_000157,add_to_cart,user_039,anon_039,2026-08-29 13:30:00,2026-08-29 13:30:02,"{""product_id"": ""P200"", ""quantity"": 1}"
evt_000158,product_viewed,user_039,anon_039,2026-08-29 15:33:00,2026-08-29 15:33:04,"{""product_id"": ""P100"", ""product_name"": ""Laptop""}"
evt_000159,purchase,user_039,anon_039,2026-08-29 17:11:00,2026-08-29 17:11:02,"{""order_id"": ""ORD26369"", ""amount"": 312.0}"
evt_000160,page_view,user_039,anon_039,2026-08-29 18:28:00,2026-08-29 18:28:05,"{""page"": ""home"", ""device"": ""desktop""}"
evt_000161,purchase,user_039,anon_039,2026-08-29 19:40:00,2026-08-29 19:40:04,"{""order_id"": ""ORD30768"", ""amount"": 514.09}"
evt_000162,add_to_cart,user_039,anon_039,2026-08-29 20:43:00,2026-08-29 20:43:04,"{""product_id"": ""P400"", ""quantity"": 4}"
evt_000163,purchase,user_039,anon_039,2026-08-29 22:47:00,2026-08-29 22:47:04,"{""order_id"": ""ORD28994"", ""amount"": 1403.14}"
evt_000164,page_view,user_039,anon_039,2026-08-29 23:16:00,2026-08-29 23:16:02,"{""page"": ""pricing"", ""device"": ""desktop""}"
evt_000165,page_view,,anon_028,2026-08-22 10:32:00,2026-08-22 10:32:01,"{""page"": ""about"", ""device"": ""tablet""}"
evt_000166,page_view,,anon_028,2026-08-22 10:47:00,2026-08-22 10:47:01,"{""page"": ""products"", ""device"": ""desktop""}"
evt_000167,page_view,,anon_028,2026-08-22 11:10:00,2026-08-22 11:10:02,"{""page"": ""home"", ""device"": ""tablet""}"
evt_000168,product_viewed,,anon_028,2026-08-22 11:55:00,2026-08-22 11:55:01,"{""product_id"": ""P300"", ""product_name"": ""Monitor""}"
evt_000169,identify,user_028,anon_028,2026-08-22 12:45:00,2026-08-22 12:45:01,"{""email"": ""user28@example.com"", ""name"": ""User 28""}"
evt_000170,page_view,user_028,anon_028,2026-08-22 12:58:00,2026-08-22 12:58:04,"{""page"": ""checkout"", ""device"": ""tablet""}"
evt_000171,purchase,user_028,anon_028,2026-08-22 15:25:00,2026-08-22 15:25:03,"{""order_id"": ""ORD48904"", ""amount"": 1447.55}"
evt_000172,add_to_cart,user_028,anon_028,2026-08-22 15:59:00,2026-08-22 15:59:01,"{""product_id"": ""P200"", ""quantity"": 3}"
evt_000173,purchase,user_028,anon_028,2026-08-22 18:05:00,2026-08-22 18:05:05,"{""order_id"": ""ORD59924"", ""amount"": 1203.51}"
evt_000174,add_to_cart,user_028,anon_028,2026-08-22 20:05:00,2026-08-22 20:05:01,"{""product_id"": ""P400"", ""quantity"": 3}"
evt_000175,add_to_cart,user_028,anon_028,2026-08-22 21:37:00,2026-08-22 21:37:05,"{""product_id"": ""P300"", ""quantity"": 1}"
evt_000176,purchase,user_028,anon_028,2026-08-22 21:40:00,2026-08-22 21:40:04,"{""order_id"": ""ORD68647"", ""amount"": 1003.95}"
evt_000177,product_viewed,,anon_126,2026-08-25 15:08:00,2026-08-25 15:08:03,"{""product_id"": ""P400"", ""product_name"": ""Keyboard""}"
evt_000178,product_viewed,,anon_126,2026-08-25 15:25:00,2026-08-25 15:25:04,"{""product_id"": ""P100"", ""product_name"": ""Laptop""}"
evt_000179,product_viewed,,anon_126,2026-08-25 15:40:00,2026-08-25 15:40:01,"{""product_id"": ""P300"", ""product_name"": ""Monitor""}"
evt_000180,product_viewed,,anon_126,2026-08-25 16:09:00,2026-08-25 16:09:05,"{""product_id"": ""P400"", ""product_name"": ""Keyboard""}"
evt_000181,page_view,,anon_162,2026-09-04 19:36:00,2026-09-04 19:36:04,"{""page"": ""checkout"", ""device"": ""mobile""}"
evt_000182,identify,user_162,anon_162,2026-09-04 19:43:00,2026-09-04 19:43:02,"{""email"": ""user162@example.com"", ""name"": ""User 162""}"
evt_000183,add_to_cart,user_162,anon_162,2026-09-04 19:46:00,2026-09-04 19:46:02,"{""product_id"": ""P200"", ""quantity"": 3}"
evt_000184,add_to_cart,user_162,anon_162,2026-09-04 19:47:00,2026-09-04 19:47:02,"{""product_id"": ""P200"", ""quantity"": 2}"
evt_000185,page_view,user_162,anon_162,2026-09-04 21:11:00,2026-09-04 21:11:04,"{""page"": ""checkout"", ""device"": ""tablet""}"
evt_000186,product_viewed,user_162,anon_162,2026-09-04 21:41:00,2026-09-04 21:41:01,"{""product_id"": ""P400"", ""product_name"": ""Keyboard""}"
evt_000187,purchase,user_162,anon_162,2026-09-04 23:22:00,2026-09-04 23:22:01,"{""order_id"": ""ORD20422"", ""amount"": 89.39}"
evt_000188,page_view,user_162,anon_162,2026-09-05 00:13:00,2026-09-05 00:13:05,"{""page"": ""home"", ""device"": ""mobile""}"
evt_000189,product_viewed,,anon_125,2026-08-22 09:46:00,2026-08-22 09:46:05,"{""product_id"": ""P300"", ""product_name"": ""Monitor""}"
evt_000190,identify,user_125,anon_125,2026-08-22 10:05:00,2026-08-22 10:05:03,"{""email"": ""user125@example.com"", ""name"": ""User 125""}"
